Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Sleep,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Chair']"
Dining,Rustic,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Work,Traditional,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Rustic,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Sleep,Traditional,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Play,Minimalist,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Play,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Modern,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Play,Rustic,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'Table']"
Sleep,Traditional,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,None,"['Sofa', 'TV']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'Table']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'TV']"
Relax,Industrial,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Chair']"
Play,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Practical,None,"['Sofa', 'Lamp', 'Table']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Play,Traditional,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Work,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Sleep,Traditional,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Modern,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Relax,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Lamp']"
Relax,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Practical,Stain-resistant,"['Sofa', 'TV']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Table']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Chair']"
Sleep,Modern,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Dining,Rustic,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Dining,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Industrial,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Modern,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'TV', 'Table']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Modern,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'Chair']"
Work,Industrial,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Sleep,Industrial,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp']"
Sleep,Rustic,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Play,Traditional,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,None,"['Sofa', 'Window']"
Work,Rustic,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Dining,Industrial,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Work,Rustic,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table', 'Table']"
Dining,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Chair']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Work,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Play,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Chair']"
Dining,Rustic,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Work,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Play,Traditional,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Modern,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,None,"['Sofa', 'TV', 'Table']"
Dining,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Work,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Table']"
Relax,Industrial,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Relax,Rustic,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'TV']"
Dining,Rustic,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Relax,Modern,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'TV']"
Sleep,Rustic,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'TV', 'Lamp', 'Table']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Dining,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Window']"
Play,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Play,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Relax,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Modern,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Chair']"
Sleep,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Sleep,Rustic,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Chair']"
Sleep,Traditional,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Work,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Traditional,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Chair']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Traditional,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Work,Traditional,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Dining,Traditional,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Industrial,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Chair']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Minimalist,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
